School_ID,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,Staff,Students_with_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,retrofit,ndvi_median_binary,retrofit_and_ndvi,EEM,EE_Retrofit_Type
24700000000000_152,0.2,0,81.63,0,18.37,29.14,1953,58750,37.5,30.06,199,80.7,37.03,54.66,9.7,0,0,0,HVAC Controls- Energy Management System,HVAC
43700000000000_153,0.09,0,100,0,0,29.33,1953,77813,78,11.88,653.5,63.73,52.82,52.87,28.45,0,0,0,HVAC- VAV System,HVAC
43700000000000_154,0.14,0,100,0,0,28.13,1992,138295,22,9.47,220,29.98,52.82,38.78,18.9,0,0,0,HVAC- VAV System,HVAC
43700000000000_155,0.14,0,100,0,0,27.92,1930,177639,37,9.94,241,28.01,52.82,28.94,11.6,0,0,0,HVAC- VAV System,HVAC
43700000000000_156,0.16,0,100,0,0,27.39,1959,235893,25.5,13.79,161,35.85,52.82,43.97,22.05,0,0,0,HVAC- VAV System,HVAC
43700000000000_157,0.12,1.68,98.16,0,0.16,28.17,2014,99531,80,11.7,220,30.06,52.82,30.83,18.9,0,0,0,HVAC- VAV System,HVAC
43700000000000_158,0.12,0,100,0,0,28.55,2006,170405,50.5,24.94,271.5,40.86,52.82,35.55,22.95,0,0,0,HVAC- VAV System,HVAC
43700000000000_159,0.15,0,100,0,0,27.45,1931,245125,52.5,21.14,112.5,30.76,52.82,41.22,22.3,0,0,0,HVAC- VAV System,HVAC
43700000000000_160,0.15,0,100,0,0,27.83,1999,250000,8,9.23,1894.5,27.07,52.82,29.85,6.15,0,0,0,HVAC- VAV System,HVAC
43700000000000_161,0.09,0,100,0,0,29.17,1930,133676,65,10.44,1894.5,64.26,52.82,55.88,28.85,0,0,0,HVAC- VAV System,HVAC
39700000000000_162,0.15,0,100,0,0,29.48,1959,69542,87.5,22.51,164,71.8,49.49,47.26,32.55,0,0,0,HVAC- Packaged/Split System AC/Heat Pump/VRF,HVAC
39700000000000_163,0.07,0,100,0,0,30.77,2004,31467,88,9.57,145,71.67,29.25,44.95,70.1,0,0,0,HVAC- Packaged/Split System AC/Heat Pump/VRF,HVAC
39700000000000_164,0.12,2.46,97.54,0,0,29.55,2000,35366,90,6.81,504.5,129.95,29.25,59.96,34,0,0,0,HVAC- Packaged/Split System AC/Heat Pump/VRF,HVAC
39700000000000_165,0.15,0,100,0,0,30.74,1949,53155,82.5,13.45,1894.5,57.92,49.49,42.43,37.25,0,0,0,HVAC- Packaged/Split System AC/Heat Pump/VRF,HVAC
39700000000000_166,0.15,0,100,0,0,29.49,1991,60114,86.5,9.2,55,81.46,49.49,46.29,40.4,0,0,0,HVAC- Packaged/Split System AC/Heat Pump/VRF,HVAC
39700000000000_167,0.12,0,100,0,0,30.61,2018,38750,89.5,16.61,53.5,98.75,49.49,58.55,33.7,0,0,0,HVAC- Packaged/Split System AC/Heat Pump/VRF,HVAC
40700000000000_168,0.08,0.2,96.2,0,3.6,23.34,1960,121136,41.5,31.42,85.5,39.13,50.32,35.9,18.8,0,0,0,,
40700000000000_169,0.13,18.26,75.2,0.16,6.38,28.36,1962,89531,53.5,19.88,1523.5,17.69,50.32,38.38,23.5,0,0,0,,
40700000000000_170,0.2,0.57,73.75,0,25.68,28.36,1958,146038,20.5,9.57,142.5,37.22,50.32,51.04,12.35,0,0,0,,
