UID,School_ID,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Percent_LandCoverTotal,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,Student_Staff_Ratio,Diversity_Index,Students_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,retrofit,ndvi_median_binary,retrofit_and_ndvi,Average_NDVI_median,StudentEnrollment_mean,Staff
43700000000000_133,43700000000000_133,0.16,0,100,0,0,100,27.21,1957,213906,2.5,NA,NA,NA,8.54,52.82,33.59,2.5,0,0,0,NA,NA,14.49
43700000000000_134,43700000000000_134,0.13,0,97.04,0,2.96,100,29.58,1957,175385,7,NA,NA,NA,13.09,52.82,32.31,2.5,0,0,0,NA,NA,15.5
1750000000000_135,1750000000000_135,0.12,NA,NA,NA,NA,NA,28.2,2005,250000,NA,NA,NA,NA,32.04,19.56,30.77,2.1,0,0,0,NA,NA,20.2
7620000000000_136,7620000000000_136,0.12,0,99.19,0,0.81,100,29.67,2007,129760,NA,NA,NA,NA,76.81,21.42,33.06,16.75,0,0,0,NA,NA,19.81
23700000000000_137,23700000000000_137,0.25,4.62,30.65,9.95,54.78,100,18.43,2003,66500,60,NA,NA,NA,21.59,36.2,29.06,39.95,1,1,1,NA,NA,18.91
42700000000000_138,42700000000000_138,0.12,0,97,0,3,100,27.67,2004,79000,80,NA,NA,NA,54.4,51.99,33.7,29.45,0,0,0,NA,NA,30.24
28700000000000_139,28700000000000_139,0.17,2.15,97.85,0,0,100,27.52,1976,55938,85.5,NA,NA,NA,43.69,40.35,46.85,28.6,0,0,0,NA,NA,11.12
15100000000000_140,15100000000000_140,0.16,0,80.88,0,19.12,100,33.27,2011,49594,83,15.01,NA,NA,41.66,27.08,44.41,NA,0,0,0,NA,822,54.75
28700000000000_141,28700000000000_141,0.15,0,100,0,0,100,29.33,2017,133214,85.5,NA,NA,NA,37.4,40.35,38.37,33.5,0,0,0,NA,NA,7.11
28700000000000_142,28700000000000_142,0.2,0,89,0,11,100,28.99,1930,95994,75.5,NA,NA,NA,36.71,40.35,27.15,10.9,1,0,0,NA,NA,12.82
28700000000000_143,28700000000000_143,0.13,0,99.25,0,0.75,100,29.95,2003,90714,42,NA,NA,NA,42.44,40.35,46.33,20.55,0,0,0,NA,NA,2
10800000000000_144,10800000000000_144,0.13,0,100,0,0,100,31.98,1951,34750,86.5,NA,NA,NA,45.47,29.25,52.37,48.95,0,0,0,NA,NA,21.95
16700000000000_145,16700000000000_145,0.1,NA,NA,NA,NA,NA,34.95,NA,59024,NA,NA,NA,NA,45.07,42.51,20.5,25.95,1,0,0,NA,NA,NA
16700000000000_146,16700000000000_146,0.1,NA,NA,NA,NA,NA,34.95,NA,59024,NA,NA,NA,NA,45.07,42.51,20.5,25.95,1,0,0,NA,NA,NA
16700000000000_147,16700000000000_147,0.1,NA,NA,NA,NA,NA,34.95,NA,59024,NA,NA,NA,NA,45.07,42.51,20.5,25.95,1,0,0,NA,NA,NA
16700000000000_148,16700000000000_148,0.11,0,95.23,0,4.77,100,34.15,1992,41255,60,NA,NA,NA,45.07,42.51,20.5,NA,1,0,0,NA,NA,0.09
16700000000000_149,16700000000000_149,0.09,0,97.28,0,2.72,100,35.05,1939,37056,92.5,NA,NA,NA,45.07,42.51,20.5,19.2,1,0,0,NA,NA,27.97
28700000000000_150,28700000000000_150,0.15,0.8,99.2,0,0,100,28.58,1949,82000,56,NA,NA,NA,48.15,40.35,38.35,14.9,0,0,0,NA,NA,13.62
24700000000000_152,24700000000000_152,0.2,0,81.63,0,18.37,100,29.14,1953,58750,37.5,NA,NA,NA,80.7,37.03,54.66,9.7,0,0,0,NA,NA,30.06
43700000000000_153,43700000000000_153,0.09,0,100,0,0,100,29.33,NA,77813,78,NA,NA,NA,63.73,52.82,52.87,28.45,0,0,0,NA,NA,11.88
43700000000000_154,43700000000000_154,0.14,0,100,0,0,100,28.13,1992,138295,NA,NA,NA,220,29.98,52.82,38.78,18.9,0,0,0,NA,1288,NA
43700000000000_155,43700000000000_155,0.14,0,100,0,0,100,27.92,1930,177639,37,NA,NA,NA,28.01,52.82,28.94,11.6,0,0,0,NA,NA,9.94
43700000000000_156,43700000000000_156,0.16,0,100,0,0,100,27.39,NA,235893,25.5,NA,NA,NA,35.85,52.82,43.97,22.05,0,0,0,NA,NA,13.79
43700000000000_157,43700000000000_157,0.12,1.68,98.16,0,0.16,100,28.17,2014,99531,NA,NA,NA,220,30.06,52.82,30.83,18.9,0,0,0,NA,1288,NA
43700000000000_158,43700000000000_158,0.12,0,100,0,0,100,28.55,NA,170405,50.5,NA,NA,NA,40.86,52.82,35.55,22.95,0,0,0,NA,NA,24.94
43700000000000_159,43700000000000_159,0.15,0,100,0,0,100,27.45,1931,245125,52.5,NA,NA,NA,30.76,52.82,41.22,22.3,0,0,0,NA,NA,21.14
43700000000000_160,43700000000000_160,0.15,0,100,0,0,100,27.83,NA,250000,8,NA,NA,NA,27.07,52.82,29.85,6.15,0,0,0,NA,NA,9.23
43700000000000_161,43700000000000_161,0.09,0,100,0,0,100,29.17,1930,133676,65,NA,NA,NA,64.26,52.82,55.88,28.85,0,0,0,NA,NA,10.44
