Order,School_ID,NDVI_median,NDVI_Under_Over_Avg,Land_Surface_Temp
398,6620000000000_422,0.15,Below Average,28.76
403,15600000000000_428,0.15,Below Average,32.58
414,10700000000000_441,0.15,Below Average,31.11
423,10600000000000_451,0.15,Below Average,30.7
427,10600000000000_455,0.15,Below Average,30.02
440,10600000000000_468,0.15,Below Average,29.39
447,10600000000000_475,0.15,Below Average,30.39
454,10600000000000_485,0.15,Below Average,30.9
464,10600000000000_496,0.15,Below Average,30.58
481,50800000000000_513,0.15,Below Average,30.97
485,39700000000000_517,0.15,Below Average,29.1
736,30103100000000_24,0.15,Below Average,36.53
738,19648100000000_102,0.15,Below Average,40.1
739,33671700000000_465,0.15,Below Average,46.97
740,36750800000000_640,0.15,Below Average,39.36
743,30665480000000_730,0.15,Below Average,37.73
744,19647330000000_737,0.15,Below Average,40.45
745,33751800000000_919,0.15,Below Average,40.91
747,19644500000000_1102,0.15,Below Average,39.33
748,33670600000000_1110,0.15,Below Average,44.83
750,19646300000000_1162,0.15,Below Average,38.45
754,19753300000000_1188,0.15,Below Average,33.7
755,19646300000000_1279,0.15,Below Average,38.8
759,19646900000000_1449,0.15,Below Average,38.33
760,15737400000000_1664,0.15,Below Average,42.48
762,33670660000000_2204,0.15,Below Average,40.91
765,30742500000000_2235,0.15,Below Average,36.53
767,19648400000000_2409,0.15,Below Average,39.54
768,19646300000000_2422,0.15,Below Average,38.36
769,19112000000000_2517,0.15,Below Average,39.14
771,33751800000000_2713,0.15,Below Average,41.03
773,19650400000000_2940,0.15,Below Average,39.52
775,19650000000000_2964,0.15,Below Average,43.17
778,33752400000000_3559,0.15,Below Average,40.59
780,19645900000000_3864,0.15,Below Average,39.67
1603,30666700000000_780,0.15,Below Average,39.47
1604,19648600000000_810,0.15,Below Average,43.2
1606,30666700000000_1097,0.15,Below Average,38.76
1607,19647300000000_1322,0.15,Below Average,38.28
1608,30739200000000_1772,0.15,Below Average,38.16
1609,30666700000000_1880,0.15,Below Average,38.05
1610,19647300000000_1917,0.15,Below Average,38.16
1612,36750400000000_1982,0.15,Below Average,41.97
1614,30666700000000_2329,0.15,Below Average,39.4
1615,19647300000000_2398,0.15,Below Average,40.49
1616,36676000000000_2425,0.15,Below Average,42.61
1617,36676000000000_2551,0.15,Below Average,40.1
1620,19649100000000_3140,0.15,Below Average,38.96
1622,36750400000000_3175,0.15,Below Average,41.1
1625,30666700000000_3381,0.15,Below Average,39.17
1626,36679300000000_3597,0.15,Below Average,40.46
4118,40800000000000_44,0.15,Below Average,30.2
4120,10600000000000_52,0.15,Below Average,29.6
4122,43700000000000_71,0.15,Below Average,27.27
4147,39700000000000_525,0.15,Below Average,28.14
4150,36750440000000_734,0.15,Below Average,41.21
4194,36750400000000_1502,0.15,Below Average,41.57
3,1610000000000_3,0.16,Below Average,31.64
4,42700000000000_4,0.16,Below Average,29.92
54,10600000000000_61,0.16,Below Average,28.15
55,10600000000000_62,0.16,Below Average,28.52
57,10600000000000_64,0.16,Below Average,29.8
74,4610000000000_82,0.16,Below Average,29.17
95,9620000000000_105,0.16,Below Average,27.96
107,1610000000000_117,0.16,Below Average,24.67
123,43700000000000_133,0.16,Below Average,27.21
130,15100000000000_140,0.16,Below Average,33.27
145,43700000000000_156,0.16,Below Average,27.39
168,7620000000000_179,0.16,Below Average,27.08
207,41700000000000_220,0.16,Below Average,25.46
220,41700000000000_235,0.16,Below Average,22.84
240,17600000000000_257,0.16,Below Average,23.79
259,20700000000000_276,0.16,Below Average,30.64
287,10600000000000_304,0.16,Below Average,29.72
302,10600000000000_322,0.16,Below Average,30.67
306,4620000000000_326,0.16,Below Average,28.2
309,10600000000000_329,0.16,Below Average,28.74
310,10600000000000_330,0.16,Below Average,28.86
312,10600000000000_332,0.16,Below Average,28.26
321,10700000000000_341,0.16,Below Average,30.04
323,10700000000000_343,0.16,Below Average,31.22
339,7620000000000_361,0.16,Below Average,27.24
424,10600000000000_452,0.16,Below Average,30.45
465,10600000000000_497,0.16,Below Average,29.52
491,39700000000000_523,0.16,Below Average,28.98
783,19646900000000_232,0.16,Below Average,38.36
784,54722600000000_637,0.16,Below Average,41.53
787,19757130000000_696,0.16,Below Average,41.46
789,19648160000000_762,0.16,Below Average,39.58
790,36678800000000_847,0.16,Below Average,40.7
791,19645900000000_967,0.16,Below Average,38.35
792,19651300000000_1066,0.16,Below Average,40.22
793,36750800000000_1190,0.16,Below Average,43.15
794,19648100000000_1206,0.16,Below Average,40.27
796,19648700000000_1319,0.16,Below Average,38.72
797,19646300000000_1533,0.16,Below Average,38.53
801,30664600000000_1804,0.16,Below Average,38.64
802,36678300000000_2005,0.16,Below Average,41.03
804,15737400000000_2229,0.16,Below Average,42.46
805,36678400000000_2277,0.16,Below Average,40.28
806,19649800000000_2419,0.16,Below Average,33.65
808,36679200000000_2769,0.16,Below Average,41.39
810,33671800000000_3068,0.16,Below Average,43.21
811,19649800000000_3116,0.16,Below Average,33.15
812,36678800000000_3194,0.16,Below Average,40.7
813,36750800000000_3364,0.16,Below Average,40.84
814,30103100000000_3630,0.16,Below Average,37.6
815,15636900000000_3771,0.16,Below Average,41.16
1627,19647300000000_58,0.16,Below Average,40.64
1628,19647100000000_92,0.16,Below Average,38.92
1629,19645000000000_533,0.16,Below Average,39.92
1630,19647300000000_870,0.16,Below Average,37.22
1632,19647300000000_1048,0.16,Below Average,38.38
1633,36679300000000_1157,0.16,Below Average,40.16
1634,19647300000000_1444,0.16,Below Average,41.52
1635,19647100000000_1688,0.16,Below Average,38.61
1636,19643500000000_1697,0.16,Below Average,38.42
1637,19647300000000_1715,0.16,Below Average,38.43
1641,19642500000000_1740,0.16,Below Average,43.9
1643,19648200000000_2280,0.16,Below Average,40.52
1644,19647300000000_2664,0.16,Below Average,37.58
1645,30666700000000_2691,0.16,Below Average,38.48
1650,36739600000000_2805,0.16,Below Average,40.34
1651,19647300000000_2832,0.16,Below Average,38.36
1654,19647300000000_2850,0.16,Below Average,40.66
1655,19642500000000_2866,0.16,Below Average,43.36
1670,19645000000000_3193,0.16,Below Average,40.95
1671,36676900000000_3248,0.16,Below Average,40.48
1672,19648600000000_3846,0.16,Below Average,41.4
4146,10600000000000_495,0.16,Below Average,30.34
27,42700000000000_28,0.17,Below Average,28.67
33,54700000000000_34,0.17,Below Average,29.39
38,10600000000000_39,0.17,Below Average,29.52
73,4610000000000_81,0.17,Below Average,28.08
77,4610000000000_85,0.17,Below Average,28.58
78,4610000000000_86,0.17,Below Average,28.86
86,17600000000000_95,0.17,Below Average,29.22
110,1610000000000_120,0.17,Below Average,24.17
129,28700000000000_139,0.17,Below Average,27.52
169,23700000000000_180,0.17,Below Average,30.02
195,57700000000000_208,0.17,Below Average,28.33
221,11600000000000_236,0.17,Below Average,28.95
233,27700000000000_249,0.17,Below Average,25.9
260,10800000000000_277,0.17,Below Average,31.27
269,10600000000000_286,0.17,Below Average,33.28
277,20700000000000_294,0.17,Below Average,30.03
300,54700000000000_320,0.17,Below Average,29.7
363,3740000000000_385,0.17,Below Average,28.52
375,42700000000000_398,0.17,Below Average,25.49
404,15600000000000_429,0.17,Below Average,30.7
428,10600000000000_456,0.17,Below Average,28.39
430,10600000000000_458,0.17,Below Average,29.8
471,10600000000000_503,0.17,Below Average,29.01
482,39700000000000_514,0.17,Below Average,29.92
816,33670600000000_8,0.17,Below Average,44.62
818,36677800000000_241,0.17,Below Average,43.83
820,33671700000000_389,0.17,Below Average,43.58
821,19646400000000_614,0.17,Below Average,42.52
822,15636900000000_639,0.17,Below Average,42.77
823,19645920000000_659,0.17,Below Average,38.71
832,19651100000000_775,0.17,Below Average,38.29
833,19644510000000_781,0.17,Below Average,40.2
835,19734400000000_941,0.17,Below Average,40.83
836,30666000000000_1311,0.17,Below Average,29.1
837,15636900000000_1393,0.17,Below Average,42.35
839,19648400000000_1489,0.17,Below Average,40.35
840,30665200000000_1492,0.17,Below Average,38.3
841,36677800000000_1574,0.17,Below Average,42.52
842,19646900000000_1793,0.17,Below Average,38.33
