Order,UID,School_ID,CDS_Code,char_prem_id,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Percent_LandCoverTotal,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,StudentEnrollment_mean,Staff,Student_Staff_Ratio,Diversity_Index,Students_with_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,EEM,EE_Retrofit_Type,retrofit,ndvi_median_binary,retrofit_and_ndvi,Average_NDVI_median
64,43700000000000_72,43700000000000_72,4.36944E+13,2095624290,0.14,0,92.93,0,7.07,100,27.02,1998,250000,9.5,NA,13.96,NA,NA,NA,22.02,52.82,21.72,1.55,HVAC- VAV System,HVAC,0,0,0,NA
65,43700000000000_73,43700000000000_73,4.36944E+13,2095625333,0.11,0,100,0,0,100,28.55,1985,179583,28,NA,12.63,NA,NA,NA,33.52,52.82,23.13,6.45,HVAC- VAV System,HVAC,0,0,0,NA
66,43700000000000_74,43700000000000_74,4.36944E+13,2095626376,0.11,0,99.49,0,0.51,100,28.82,1967,112014,41,NA,9.13,NA,NA,NA,32.48,52.82,31.89,8.1,HVAC- VAV System,HVAC,0,0,0,NA
67,43700000000000_75,43700000000000_75,4.36944E+13,2095629505,0.1,0,99.17,0,0.83,100,28.58,1988,138864,NA,NA,NA,NA,NA,NA,46.54,52.82,35.93,NA,HVAC- VAV System,HVAC,0,0,0,NA
68,43700000000000_76,43700000000000_76,4.36944E+13,2095630548,0.11,0,100,0,0,100,28.84,1969,142957,38.5,NA,9.21,NA,NA,NA,41.77,52.82,17.26,8.4,HVAC- VAV System,HVAC,0,0,0,NA
69,29700000000000_77,29700000000000_77,2.96637E+13,2158181651,0.28,0.48,16.92,77.2,5.4,100,23.76,1985,92413,28,NA,9.01,NA,NA,NA,NA,NA,NA,19.85,Lighting- Interior Fixture Retrofit,Lighting,1,1,1,NA
70,54700000000000_78,54700000000000_78,5.472009e+13,2293579535,0.18,0,89.31,0,10.69,100,29.26,NA,46111,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6,Lighting Controls,Lighting,1,0,0,NA
71,1610000000000_79,1610000000000_79,1.61309E+12,2319663954,0.1,0,100,0,0,100,28.24,2005,76639,NA,NA,3,NA,NA,98.5,95.62,19.56,37.23,55.45,NA,NA,0,0,0,NA
72,4610000000000_80,4610000000000_80,4.61425E+12,2408217097,0.22,0,100,0,0,100,26.2,1953,NA,NA,NA,22.56,NA,NA,NA,46.31,19.73,49.15,27,NA,NA,0,0,0,NA
73,4610000000000_81,4610000000000_81,4.61424E+12,2408230656,0.17,0,100,0,0,100,28.08,2005,51714,NA,NA,12.05,NA,NA,336,NA,NA,NA,96.05,NA,NA,0,0,0,NA
