School_ID,Year_built
1610000000000_203,1960
3740000000000_333,1960
3740000000000_382,1960
3740000000000_384,1960
3740000000000_385,1960
1610000000000_411,1960
10600000000000_445,1960
10600000000000_464,1960
10600000000000_467,1960
10600000000000_472,1960
36738900000000_3231,1960
19651300000000_1066,1960
19648100000000_3349,1960
33670330000000_741,1960
56724600000000_849,1960
19757100000000_1857,1960
19102000000000_2362,1960
19646300000000_216,1960
33103300000000_725,1960
56724600000000_848,1960
36678500000000_1946,1960
19650600000000_1481,1960
19734500000000_3032,1960
19642120000000_682,1960
30665200000000_1829,1960
33670660000000_2281,1960
19643000000000_3253,1960
56725400000000_1059,1960
36678800000000_1316,1960
30647700000000_1928,1960
33670800000000_3812,1960
36678800000000_2653,1960
54722600000000_2993,1960
19650000000000_3112,1960
56739400000000_2502,1960
30736500000000_3634,1960
56768300000000_171,1960
56768300000000_172,1960
19643300000000_1167,1960
19734500000000_1597,1960
56768300000000_170,1960
19647300000000_1625,1960
19734500000000_246,1960
19643300000000_1750,1960
56768300000000_169,1960
56768300000000_244,1960
56768300000000_245,1960
33670300000000_151,1960
36678500000000_3670,1960
19645800000000_3730,1960
19647300000000_3282,1960
19649100000000_3726,1960
30736400000000_168,1960
56768300000000_243,1960
19651400000000_131,1960
33670300000000_2851,1960
33751900000000_3416,1960
16639600000000_1563,1960
28700000000000_151,1960
19650400000000_367,1960
19650400000000_368,1960
19650400000000_369,1960
19650400000000_370,1960
19734600000000_613,1960
19643300000000_110,1960
30665000000000_1120,1960
56725500000000_2450,1960
30666700000000_3570,1960
36676800000000_353,1960
42700000000000_28,1961
15600000000000_195,1961
1610000000000_204,1961
1750000000000_241,1961
42700000000000_399,1961
36738900000000_3848,1961
36750800000000_640,1961
15737400000000_1664,1961
19645010000000_694,1961
19645500000000_1101,1961
19644400000000_2454,1961
19648100000000_3749,1961
19644400000000_2238,1961
30739200000000_1772,1961
19648200000000_157,1961
19650600000000_3595,1961
30665000000000_1891,1961
19734400000000_87,1961
15634040000000_684,1961
33751800000000_1811,1961
19645300000000_1821,1961
30666200000000_332,1961
56726500000000_293,1961
30665100000000_2721,1961
54718400000000_311,1961
54722300000000_1087,1961
54718400000000_312,1961
56726500000000_158,1961
30666500000000_222,1961
42692100000000_3600,1961
30666200000000_3601,1961
19646800000000_3734,1961
42767900000000_3024,1961
42692100000000_3599,1961
19650600000000_796,1961
19650600000000_3596,1961
19734500000000_1554,1961
19650600000000_1274,1961
54719900000000_1459,1961
30666700000000_3768,1961
30666700000000_27,1961
36676800000000_1315,1961
56768300000000_2924,1961
16639300000000_2306,1961
19647300000000_1552,1961
19647300000000_1778,1961
19645800000000_602,1961
19648800000000_3698,1961
30665100000000_3256,1961
19647900000000_2829,1961
19647300000000_1553,1961
7620000000000_37,1962
43700000000000_69,1962
43700000000000_131,1962
40700000000000_169,1962
28700000000000_176,1962
1610000000000_206,1962
10600000000000_238,1962
7620000000000_252,1962
42700000000000_405,1962
1610000000000_418,1962
10600000000000_450,1962
10600000000000_465,1962
10600000000000_475,1962
14632700000000_2180,1962
19753300000000_1188,1962
19645920000000_721,1962
19648400000000_1489,1962
19650450000000_799,1962
19648400000000_1488,1962
19734400000000_1672,1962
30666100000000_1149,1962
54720700000000_2246,1962
19648200000000_2280,1962
19650600000000_785,1962
36678500000000_1526,1962
30103100000000_1390,1962
19644400000000_2541,1962
19647700000000_3686,1962
36678800000000_247,1962
19650400000000_1318,1962
56724600000000_1323,1962
19643290000000_800,1962
30666200000000_992,1962
19734600000000_387,1962
30666000000000_564,1962
54720820000000_2307,1962
30665100000000_3333,1962
19642600000000_1284,1962
19649100000000_173,1962
19650600000000_3709,1962
54719900000000_1709,1962
56726500000000_320,1962
19645800000000_3285,1962
1610000000000_3,1963
31700000000000_12,1963
43700000000000_40,1963
4610000000000_82,1963
9620000000000_111,1963
1610000000000_200,1963
43700000000000_212,1963
1610000000000_416,1963
10600000000000_468,1963
30666000000000_3735,1963
33672500000000_3097,1963
30666200000000_2945,1963
19644400000000_2532,1963
19734500000000_2587,1963
36678430000000_750,1963
30666500000000_455,1963
30666500000000_456,1963
54722600000000_2919,1963
56737600000000_2920,1963
36678700000000_1632,1963
30666700000000_646,1963
36678500000000_3814,1963
19647300000000_483,1963
19650500000000_492,1963
19647300000000_931,1963
36676100000000_184,1964
36676100000000_185,1964
36676100000000_183,1964
19646300000000_2069,1964
19647900000000_3113,1964
30667500000000_3666,1964
19642900000000_1544,1964
19648100000000_2040,1964
30666700000000_3381,1964
19642500000000_2863,1964
19642500000000_2864,1964
33670900000000_1362,1964
33670900000000_1363,1964
36678400000000_480,1964
30647700000000_1929,1964
19757100000000_3092,1964
30736500000000_3637,1964
56725200000000_3459,1964
19650600000000_1500,1964
19643300000000_2880,1964
56725500000000_812,1964
33751900000000_3404,1964
54722200000000_3449,1964
48700000000000_21,1964
48700000000000_312,1964
48700000000000_313,1964
56726000000000_231,1964
19647300000000_1305,1964
43700000000000_70,1965
4610000000000_86,1965
43700000000000_178,1965
27700000000000_232,1965
43700000000000_328,1965
15600000000000_428,1965
10600000000000_455,1965
10600000000000_496,1965
39700000000000_515,1965
14632700000000_2141,1965
36676100000000_592,1965
36676100000000_593,1965
36676100000000_591,1965
36676100000000_594,1965
30666100000000_2641,1965
30665100000000_1070,1965
19645500000000_3761,1965
33671200000000_111,1965
16639250000000_743,1965
19648100000000_1063,1965
30664800000000_2,1965
36677100000000_196,1965
19650000000000_2352,1965
30666200000000_3382,1965
56726000000000_129,1965
19642900000000_260,1965
19645000000000_835,1965
30666100000000_468,1965
19734600000000_529,1965
19646300000000_3672,1965
36678200000000_124,1965
36678200000000_127,1965
30666100000000_527,1965
19646300000000_1043,1965
33670800000000_3568,1965
30666100000000_467,1965
36678800000000_606,1965
33670800000000_1256,1965
19646900000000_1865,1965
19644400000000_2542,1965
30665100000000_2603,1965
30666200000000_3356,1965
30666100000000_528,1965
19650940000000_715,1965
56726000000000_225,1965
19645300000000_836,1965
19645300000000_3269,1965
36750700000000_3552,1965
19650000000000_3041,1965
56726000000000_3578,1965
19734600000000_530,1965
36678430000000_653,1965
56737600000000_3693,1965
19648320000000_756,1965
30666200000000_414,1965
26102600000000_2230,1965
36678800000000_2774,1965
19651100000000_1785,1965
19650300000000_3266,1965
19646800000000_50,1965
54723000000000_3835,1965
42692500000000_2048,1965
19649100000000_123,1965
19648200000000_2777,1965
19649100000000_125,1965
19649100000000_126,1965
56768300000000_1129,1965
36678500000000_212,1965
19643300000000_1179,1965
16638800000000_113,1965
30666700000000_1491,1965
19734500000000_3189,1965
30736400000000_3643,1965
16638800000000_112,1965
42693400000000_3625,1965
54767900000000_386,1965
33751900000000_3412,1965
33751900000000_3417,1965
26736900000000_1830,1965
19648300000000_2785,1965
30736400000000_128,1965
4610000000000_87,1965
19647300000000_959,1965
30665200000000_315,1965
19647900000000_2830,1965
30665100000000_3477,1965
19647900000000_263,1965
30666700000000_1456,1965
30666700000000_1457,1965
56725500000000_2524,1965
30666700000000_3384,1965
42700000000000_29,1966
43700000000000_67,1966
54700000000000_78,1966
1750000000000_240,1966
30665140000000_788,1966
30666200000000_889,1966
30665500000000_1037,1966
33670900000000_1989,1966
30666500000000_888,1966
56726000000000_1525,1966
54722600000000_3792,1966
56737600000000_167,1966
56737600000000_166,1966
19648700000000_2898,1966
54720300000000_2746,1966
54718520000000_2169,1966
56725500000000_427,1966
56725500000000_428,1966
36676000000000_72,1966
19647300000000_1754,1966
19650500000000_3572,1966
43700000000000_74,1967
10600000000000_256,1967
42700000000000_400,1967
15600000000000_426,1967
10700000000000_442,1967
19646900000000_3772,1967
33671200000000_585,1967
42767900000000_815,1967
19734400000000_3445,1967
19650600000000_3190,1967
42767900000000_814,1967
19650000000000_1286,1967
42767900000000_813,1967
36678400000000_2915,1967
36678400000000_1050,1967
30736500000000_3537,1967
30736500000000_3538,1967
30666000000000_10,1967
30736500000000_3536,1967
30666000000000_7,1967
54718500000000_536,1967
36676800000000_1314,1967
19734500000000_3782,1967
19734500000000_3783,1967
19734500000000_3784,1967
30665600000000_1619,1967
30664800000000_1047,1967
41700000000000_220,1968
1750000000000_242,1968
10600000000000_470,1968
30666500000000_882,1968
30666500000000_881,1968
30666500000000_883,1968
19648100000000_1096,1968
19734400000000_648,1968
30665500000000_874,1968
19647300000000_1558,1968
19650000000000_927,1968
19650000000000_928,1968
19734400000000_3678,1968
54720700000000_2300,1968
54722600000000_3684,1968
30666500000000_277,1968
30666500000000_495,1968
36678800000000_934,1968
54722600000000_3794,1968
19648700000000_3252,1968
19648700000000_1979,1968
36678700000000_1889,1968
