,School_ID,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,Staff,Diversity_Index,Students_with_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,retrofit,ndvi_median_binary,retrofit_and_ndvi,income,School_Type
141,36750800000000_3242,0.17,0,46.06,0,53.94,39.7,2005,118704,39,25.01,0.56,42.5,67.78,34.44,22.9,29.7,0,0,0,high income,Control School
142,19651000000000_86,0.18,0,49.44,0,50.56,38.91,1993,138125,60,20.06,0.63,241,51.5,34.92,43.81,25.4,0,0,0,high income,Control School
143,19753400000000_235,0.18,0,100,0,0,35.79,1959,117100,22,15.58,0.63,241,22.51,34.92,39.52,4.7,0,0,0,high income,Control School
144,36677400000000_980,0.18,0,93.65,0,6.35,38.78,1912,157276,49,4.55,0.63,112.5,23.28,22.48,52.3,16.35,0,0,0,high income,Control School
145,11101200000000_2237,0.18,0,100,0,0,37.7,2014,122321,49,8.52,0.63,361.5,52.75,34.92,55.39,24.1,0,0,0,high income,Control School
146,19650450000000_799,0.19,1.44,87.56,0,11,42.03,2007,126131,0,112,0.56,27.5,39.65,34.92,45.76,15.25,0,0,0,high income,Control School
147,36677400000000_978,0.19,0,100,0,0,38.91,2004,157276,49,4.55,0.63,85.5,23.28,22.48,52.3,18.3,0,0,0,high income,Control School
148,36677400000000_979,0.19,0,100,0,0,38.97,1965,157276,49,4.55,0.63,42,23.28,22.48,52.3,11.05,0,0,0,high income,Control School
149,19649800000000_1726,0.19,0,100,0,0,34.05,1957,150930,33,32.84,0.63,27.5,23.39,34.92,44.29,7.65,0,0,0,high income,Control School
150,19753400000000_1816,0.19,0,100,0,0,36.72,1995,125625,22,23.22,0.63,42,28.1,34.92,34.39,9.05,0,0,0,high income,Control School
151,30666100000000_3605,0.19,0.08,88.07,0,11.85,36.83,2002,169722,35,21.6,0.63,15,32.83,22.48,60.31,14.45,0,0,0,high income,Control School
152,36677400000000_977,0.2,0,95.28,0,4.72,38.84,2006,157276,49,4.55,0.63,85.5,23.28,22.48,52.3,25.3,0,0,0,high income,Control School
153,19642100000000_999,0.2,0,92.02,0,5.63,38.02,2008,153000,71,16.93,0.63,23,41.48,34.92,50,23.05,0,0,0,high income,Control School
154,19646300000000_1164,0.2,0,100,0,0,37.22,2013,137943,49,3.25,0.63,23,99.47,34.92,48.83,9.2,0,0,0,high income,Control School
155,19753400000000_1462,0.2,0,98.75,0,1.25,35.11,1959,179125,22,20.73,0.63,241,27.72,34.92,42.93,5.2,0,0,0,high income,Control School
156,30665200000000_1825,0.2,0,99.42,0,0.58,37.16,2007,118704,66,10.59,0.63,38.5,31.23,22.48,40.61,22.35,0,0,0,high income,Control School
157,30665200000000_1826,0.2,0,97.04,0,5.14,37.16,1981,118704,66,10.59,0.63,336,31.23,22.48,40.61,22.35,0,0,0,high income,Control School
158,30665200000000_1827,0.2,0,72.7,0,24.39,37.16,1968,118704,66,10.59,0.63,241,31.23,22.48,40.61,22.35,0,0,0,high income,Control School
159,30665200000000_1828,0.2,0,100,0,0,37.1,2014,118704,66,10.59,0.63,241,31.23,22.48,40.61,22.35,0,0,0,high income,Control School
160,36677100000000_2842,0.2,0,84.03,0,14.78,40.28,1989,119821,82,15.58,0.63,13,62.8,34.44,41.67,26.35,0,0,0,high income,Control School
161,30665220000000_701,0.21,0,100,0,0,37.58,1957,121458,0,27.97,0.56,27.5,26.48,22.48,38.35,14.75,0,0,0,high income,Control School
162,19651020000000_790,0.21,0,92.2,0,7.8,42.47,2000,114648,0,13.08,0.47,42,45.35,34.92,26.26,23.25,0,0,0,high income,Control School
163,19651020000000_791,0.21,0,68.23,0,36.14,42.47,1990,114648,0,8.01,0.47,504.5,45.35,34.92,26.26,23.25,0,0,0,high income,Control School
164,30665200000000_842,0.21,0,100,0,0,37.59,2003,147277,66,13.75,0.63,98.5,34.53,22.48,49.99,18.3,0,0,0,high income,Control School
165,56724600000000_849,0.21,0,99.62,0,0.38,35.52,1960,126250,88,33.97,0.63,1523.5,47.15,26.69,30.98,13.9,0,0,0,high income,Control School
166,30666200000000_1014,0.21,0,99.36,0,0.64,40.61,1991,133906,10,16.9,0.57,125.5,41.25,22.48,48.15,12.55,0,0,0,high income,Control School
167,30666100000000_1233,0.21,3.03,96.18,0.16,0.64,34.47,1993,127973,35,12.17,0.57,241,27.16,22.48,34.94,12,0,0,0,high income,Control School
168,30664700000000_1781,0.21,0,100,0,0,37.89,2001,140893,54,5.79,0.63,241,27.54,22.48,42.14,5.05,0,0,0,high income,Control School
169,19647700000000_1851,0.21,6.27,87.54,0,3.97,38.53,2005,115524,39,51.71,0.63,199,67.6,34.92,67.58,16.8,0,0,0,high income,Control School
