"","Order","School_ID","NDVI_median","Percent_Water","Percent_Developed","Percent_Forest","Percent_Pasture","Land_Surface_Temp","Year_built","Median_income_BG","Percent_FRPM","Staff","Students_with_Disabilities","Asthma_Rates","COVID_infections","Pollution_Burden","Chronic_Absenteeism","retrofit","ndvi_median_binary","retrofit_and_ndvi","EEM","EE_Retrofit_Type","CDS_Code","char_prem_id","CDSCode"
"77",483,"39700000000000_515",0.21,0,99.44,0,0.56,27.39,1965,66416,76.5,16.04,645,40.7,49.49,46.78,29.65,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96859e+13,"9981032108","39685856042196"
"78",484,"39700000000000_516",0.24,0,99.41,0,0.59,26.61,1959,83932,80,11.71,241,40.7,49.49,46.78,37.9,0,1,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96859e+13,"9981034194","39685856042055"
"79",485,"39700000000000_517",0.15,8.51,87.44,0,4.05,29.1,1934,120781,78,10.11,241,36.88,49.49,34,26.2,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96859e+13,"9981039409","39685850111419"
"80",486,"39700000000000_518",0.2,0,100,0,0,29.07,1958,54351,75.5,4.94,20747,30.13,49.49,56,32.6,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96859e+13,"9981043581","39685856042121"
"81",487,"39700000000000_519",0.23,0,100,0,0,28.51,1946,46383,79.5,11.27,112.5,46.19,49.49,50.23,28.8,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96859e+13,"9981048796","39685856042170"
"82",488,"39700000000000_520",0.14,0,100,0,0,29.33,1991,86489,89,30.63,241,81.55,49.49,35.9,13.85,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96859e+13,"9981050882","39685850101428"
"83",489,"39700000000000_521",0.14,0,100,0,0,29.58,1991,61797,62.5,8.75,27.5,56.7,49.49,31.06,69.95,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96859e+13,"9981051925","39685853930278"
"84",490,"39700000000000_522",0.2,0,80.13,0,19.88,28.78,1949,74709,67.5,9.6,16,41.9,49.49,40.13,25.2,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96859e+13,"9981057140","39685856042188"
"85",491,"39700000000000_523",0.16,0,100,0,0,28.98,1989,85789,80.5,16.55,161,59.29,49.49,41.99,43,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96859e+13,"9981062355","39685856108807"
"86",492,"39700000000000_524",0.13,0,100,0,0,30.27,1985,54514,87.5,13.36,241,69.78,49.49,36.71,35.85,0,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",3.96859e+13,"9981064441","39685856104426"
"87",1554,"36679300000000_1354",0.1,0,87.07,0,12.93,41.83,1991,103958,83,28.25,1523.5,70.58,34.44,38.81,26.45,1,0,0,"HVAC Controls- Energy Management System","HVAC",3.66793e+13,"4506698","36679346059554"
"88",1564,"36679300000000_2688",0.12,0,98.84,0,1.16,43.7,1993,79821,83,21.52,205,99.69,34.44,33.3,50.25,1,0,0,"HVAC Controls- Energy Management System","HVAC",3.66793e+13,"10229638","36679343630670"
"89",1565,"36679300000000_2689",0.12,0,85.14,0,31.55,43.7,1993,79821,83,21.52,205,99.69,34.44,33.3,30.65,1,0,0,"HVAC Controls- Energy Management System","HVAC",3.66793e+13,"10278670","36679343630670"
"90",1571,"19642500000000_3776",0.12,0,33.33,0,66.67,43.35,2003,85625,54,97,14.5,79.73,34.92,21.23,22.15,1,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",1.96425e+13,"9584523","19642460100081"
"91",1572,"36679300000000_37",0.13,0,28.86,0,71.14,44.09,2004,31506,83,50.78,205,97.5,34.44,20.54,21.7,1,0,0,"HVAC Controls- Energy Management System","HVAC",3.66793e+13,"10270709","36679340125419"
"92",1573,"19642500000000_98",0.13,0,94.18,0,5.82,41.91,1912,40724,54,74,205,142.59,34.92,40.49,28.25,1,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",1.96425e+13,"874670","19642461930213"
"93",1579,"36679300000000_1352",0.13,0,94.43,0.24,5.33,40.97,2009,97353,83,28.25,14.5,70.58,34.44,38.81,26.45,1,0,0,"HVAC Controls- Energy Management System","HVAC",3.66793e+13,"1029423","36679346059554"
"94",1580,"36679300000000_1353",0.13,0,79.51,0.24,2.47,40.97,2017,62083,83,28.25,14.5,70.58,34.44,38.81,26.45,1,0,0,"HVAC Controls- Energy Management System","HVAC",3.66793e+13,"1029424","36679346059554"
"95",1581,"36679300000000_2690",0.13,0,76.05,0,23.95,42.22,1993,56590,83,21.52,205,86.91,34.44,25.42,34.7,1,0,0,"HVAC Controls- Energy Management System","HVAC",3.66793e+13,"10646537","36679343630670"
"96",1584,"19642500000000_2811",0.13,0,8.4,0,91.6,43.99,1996,48688,54,8,32.5,147.68,34.92,49.14,93.45,1,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",1.96425e+13,"9759562","19642461995968"
"97",1588,"36679300000000_3234",0.13,0,64.47,0,35.53,41.15,1996,65857,83,65.33,205,86.91,34.44,16.39,22.05,1,0,0,"HVAC Controls- Energy Management System","HVAC",3.66793e+13,"6554702","36679343630787"
"98",1589,"36679300000000_3235",0.13,0,58.33,0,96.49,41.15,1996,41602,83,65.33,205,86.91,34.44,16.39,22.05,1,0,0,"HVAC Controls- Energy Management System","HVAC",3.66793e+13,"6554703","36679343630787"
"99",1591,"36679300000000_493",0.14,0,51.79,0,48.21,42.53,1997,27209,83,17.13,14.5,86.91,34.44,16.39,5.7,1,0,0,"HVAC Controls- Energy Management System","HVAC",3.66793e+13,"10164999","36679346114698"
"100",1597,"14632500000000_2325",0.14,2.59,1.78,0,95.63,31.02,2013,45515,63,13.64,32.5,64.9,29.34,18.98,50.2,1,0,0,"HVAC Controls- Programmable/Smart Thermostats","HVAC",1.46325e+13,"7058142","14632480129072"
"101",1602,"36679300000000_3540",0.14,0,47.9,0,52.1,42.69,2005,33397,83,14.44,14.5,86.91,34.44,16.39,5.4,1,0,0,"HVAC Controls- Energy Management System","HVAC",3.66793e+13,"10019362","36679340110064"
"102",1604,"19648600000000_810",0.15,0.08,69.08,0,30.84,43.2,2011,66750,84,25.04,205,51.51,34.92,35.79,16.6,1,0,0,"HVAC Controls- Energy Management System","HVAC",1.96486e+13,"10464311","19648570124156"
"103",1605,"19648600000000_811",0.15,0,94.18,0,60.71,43.2,2011,57314,84,25.04,1523.5,51.51,34.92,35.79,16.6,1,0,0,"HVAC Controls- Energy Management System","HVAC",1.96486e+13,"10464493","19648570124156"
"104",1626,"36679300000000_3597",0.15,0,99,0,1,40.46,2006,54875,83,50.01,14.5,94.91,34.44,43.08,10.8,1,0,0,"HVAC Controls- Energy Management System","HVAC",3.66793e+13,"2479678","36679343638012"
"105",1628,"19647100000000_92",0.16,0,100,0,0,38.92,2000,60682,92,5.5,205,52.43,34.92,57.37,24.35,1,0,0,"HVAC Controls- Energy Management System","HVAC",1.96471e+13,"10311640","19647091996313"
"106",1633,"36679300000000_1157",0.16,0,85.47,0,14.53,40.16,2008,54875,83,2.5,13,94.91,34.44,43.08,93.8,1,0,0,"HVAC Controls- Energy Management System","HVAC",3.66793e+13,"10253769","36679343630100"
"107",1635,"19647100000000_1688",0.16,0,100,0,0,38.61,2003,84087,92,23.5,13,52.43,34.92,57.37,19.95,1,0,0,"HVAC Controls- Energy Management System","HVAC",1.96471e+13,"9423414","19647090100602"
"108",1641,"19642500000000_1740",0.16,0,57.11,0,42.89,43.9,1960,61000,54,84.5,32.5,92.21,34.92,29.23,31.15,1,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",1.96425e+13,"1138870","19642461995406"
"109",1655,"19642500000000_2866",0.16,0,42.23,0,57.77,43.36,2002,46098,54,13,13,63.61,34.92,48.68,67.65,1,0,0,"HVAC- Packaged/Split System AC/Heat Pump/VRF","HVAC",1.96425e+13,"972217","19642461996644"
