"","Order","School_ID","NDVI_median","Percent_Water","Percent_Developed","Percent_Forest","Percent_Pasture","Land_Surface_Temp","Year_built","Median_income_BG","Percent_FRPM","Staff","Students_with_Disabilities","Asthma_Rates","COVID_infections","Pollution_Burden","Chronic_Absenteeism","retrofit","ndvi_median_binary","retrofit_and_ndvi","EEM","EE_Retrofit_Type","CDS_Code","char_prem_id","CDSCode"
"93",93,"15700000000000_103",0.13,0,98.65,0,1.35,32.41,1998,39063,88,13.5,14.5,59.59,27.08,49.45,18.45,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",1.57391e+13,"2875427394","15739086106306"
"94",94,"15600000000000_104",0.11,0,100,0,0,33.15,1985,28379,98,8.08,36,84.72,27.08,50.34,23.9,0,0,0,"Building Envelope- Windows/Skylights","Building_Envelope",1.563529e+13,"2887047833","1.563529e+13"
"95",95,"9620000000000_105",0.16,0,76.97,4.94,18.09,27.96,1931,44803,66,2,16,45.48,18.13,33.85,17.1,0,0,0,"Lighting- Interior Fixture Retrofit","Lighting",9.61853e+12,"2887185563","9.61853e+12"
"96",96,"9620000000000_106",0.19,0,74.26,5.6,20.14,27.17,1981,163333,25,44.21,16,21.27,18.13,17.67,10,0,0,0,NA,NA,9.61853e+12,"2887200165","9618530930081"
"97",97,"9620000000000_107",0.2,0,78.72,7.13,14.14,27.14,1981,163333,25,44.21,16,21.27,18.13,17.67,10,0,0,0,NA,NA,9.61853e+12,"2887201208","9618530930081"
"98",98,"9620000000000_108",0.23,0,42.01,30.19,27.8,26.39,1999,62805,36,32.27,16,45.48,18.13,33.85,25.55,0,0,0,NA,NA,9.61853e+12,"2887202251","9618530930164"
"99",99,"9620000000000_109",0.23,0,88.36,4.86,0,26.39,1999,62805,77,32.27,16,45.48,18.13,33.85,25.55,0,0,0,NA,NA,9.61853e+12,"2887203294","9618530930164"
"100",100,"9620000000000_110",0.22,0,79.52,15.56,4.92,26.59,2002,62841,60,19.35,16,49.36,18.13,34.49,31.5,0,0,0,NA,NA,9.61853e+12,"2887204337","9618530930222"
"101",101,"9620000000000_111",0.23,0.32,48.73,36.17,14.79,25.49,1963,160438,58,36.26,16,29.48,18.13,24.19,13.15,0,0,0,NA,NA,9.61853e+12,"2887205380","9618530936302"
"102",102,"1610000000000_112",0.07,0,100,0,0,28.52,1970,31292,94.5,24.59,1523.5,129.22,19.56,47.86,63.15,0,0,0,NA,NA,1.61259e+12,"2939378408","1612590125716"
"103",103,"1610000000000_113",0.08,0,100,0,0,28.84,2006,57601,64,9.17,1523.5,208.36,19.56,39.63,46.3,0,0,0,NA,NA,1.61259e+12,"2939379451","1612590112813"
"104",104,"1610000000000_114",0.09,0,100,0,0,27.99,2006,47938,90.5,16,1523.5,96.02,19.56,37.76,39.15,0,0,0,NA,NA,1.61259e+12,"2939385709","1612590112763"
"105",105,"1610000000000_115",0.1,0,100,0,0,27.28,2005,66912,77,8.89,1523.5,129.22,19.56,34.8,25.95,0,0,0,NA,NA,1.61259e+12,"2939393010","1612590110247"
"106",106,"1610000000000_116",0.09,0,100,0,0,28.74,2006,58750,93,2.3,1523.5,226.34,19.56,30.02,26.25,0,0,0,NA,NA,1.61259e+12,"2939401354","1612590112771"
"107",107,"1610000000000_117",0.16,0,100,0,0,24.67,1935,250000,6,7.57,85.5,39.19,19.56,35.33,4.95,0,0,0,NA,NA,1.6126e+12,"2939446203","1612596001754"
"108",108,"1610000000000_118",0.09,0,100,0,0,28.77,2007,46098,91,9.22,1523.5,155.95,19.56,32.79,42.85,0,0,0,NA,NA,1.61259e+12,"2939464977","1612590115600"
"109",109,"1610000000000_119",0.13,0,100,0,0,25.82,1950,158750,7,16.57,85.5,20.47,19.56,33.02,13.95,0,0,0,NA,NA,1.6126e+12,"2939477493","1612596057004"
"110",110,"1610000000000_120",0.17,0,98.88,1.02,0.1,24.17,1940,208906,6,14.9,241,31.66,19.56,30.32,6.7,0,0,0,NA,NA,1.6126e+12,"2939480622","1612596001648"
"111",111,"44700000000000_121",0.15,16.81,77.82,0,5.36,24.35,2004,133482,89,14.76,1894.5,56.91,53.65,44.73,35.45,0,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",4.4698e+13,"2955554168","44697990102673"
"112",112,"6620000000000_122",0.15,0,100,0,0,29.67,2008,85290,82,8.05,32.5,38.64,18.13,65.52,28.05,1,0,0,NA,NA,6.61622e+12,"3043581573","6616220118729"
"113",113,"6620000000000_123",0.15,0,98.83,0,0,29.67,2008,85290,68,8.05,14.5,20.8,34.44,30.43,28.05,1,0,0,NA,NA,6.61622e+12,"3043582616","6616220118729"
