"","Order","School_ID","NDVI_median","Percent_Water","Percent_Developed","Percent_Forest","Percent_Pasture","Land_Surface_Temp","Year_built","Median_income_BG","Percent_FRPM","Staff","Students_with_Disabilities","Asthma_Rates","COVID_infections","Pollution_Burden","Chronic_Absenteeism","retrofit","ndvi_median_binary","retrofit_and_ndvi","EEM","EE_Retrofit_Type","CDS_Code","char_prem_id","CDSCode"
"55",162,"28700000000000_173",0.19,0,73.41,1.67,24.92,28.55,2018,121950,79.5,17.61,85.5,42.13,40.35,46.07,30.65,0,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",2.86627e+13,"4220683605","28662666026942"
"56",163,"28700000000000_174",0.14,0,99.63,0,0.37,29.61,2004,90714,56.5,39.16,13,42.44,40.35,46.33,21.15,1,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",2.86627e+13,"4220718024","28662662835601"
"57",164,"28700000000000_175",0.21,0,63.04,1.83,35.13,27.58,1950,135000,69.5,16.88,27.5,32.58,40.35,39.87,21.35,0,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",2.86627e+13,"4220727411","28662666058796"
"58",165,"28700000000000_176",0.14,0,97.98,0,0,29.61,2000,90714,56.5,39.16,28,42.44,40.35,46.33,21.15,1,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",2.86627e+13,"4230907316","28662662835601"
"59",166,"27700000000000_177",0.13,0,99.9,0,0.1,25.77,2004,78106,61,13.4,241,60.02,42.85,65.14,19.2,0,0,0,"Lighting- CFL Lamp Retrofit","Lighting",2.76619e+13,"4267236939","27661910107391"
"60",169,"23700000000000_180",0.17,1.59,20.49,7.07,70.85,30.02,1930,50341,94.5,4.13,205,62.7,36.2,21,28.5,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",2.36561e+13,"4457477089","23656072334563"
"61",170,"23700000000000_181",0.21,8.78,75.61,0,5.19,28.97,1930,49375,100,33.13,32.5,62.7,36.2,21,14.05,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",2.36561e+13,"4457515680","23656072330033"
"62",171,"23700000000000_182",0.21,0,94.37,0,29.43,28.97,1930,49375,100,16.96,32.5,62.7,36.2,21,14.05,1,0,0,"Lighting- Interior Fixture Retrofit","Lighting",2.36561e+13,"4457518809","23656072330033"
"63",174,"57700000000000_185",0.18,0,100,0,0,27.36,1914,67865,78.5,6.13,42.5,51.44,64.45,45.88,33.35,0,0,0,"Lighting- Exterior Fixture Retrofit","Lighting",5.77271e+13,"4594944538","57727106056469"
"64",178,"1610000000000_189",0.1,0,100,0,0,27.36,2005,68864,90,11.85,98.5,71.68,19.56,37.48,36.95,0,0,0,"Lighting- Retrofit Interior Lamps to LED","Lighting",1.61309e+12,"4595543819","1.61309e+12"
