"","NDVI_median","Percent_Water","Percent_Developed","Percent_Forest","Percent_Pasture","Land_Surface_Temp","Year_built","Median_income_BG","Percent_FRPM","Staff","Students_with_Disabilities","Asthma_Rates","COVID_infections","Pollution_Burden","Chronic_Absenteeism","retrofit","ndvi_median_binary","retrofit_and_ndvi"
"19645200000000_897",0.22,0,100,0,11.37,39.45,1901,100368,84,51.76,112.5,48.95,34.92,73.84,15.2,0,0,0
"30666000000000_524",0.23,0,99.44,0,0.56,36.27,1954,106979,23,18.35,20747,26.28,22.48,41.18,35.2,0,0,0
"30666000000000_525",0.23,0,100,0,0.11,36.27,1994,106979,23,18.35,142.5,26.28,22.48,41.18,35.2,0,0,0
"36677100000000_1017",0.23,0,98.49,0,1.51,39.95,2005,101056,82,80.76,645,62.8,34.44,42.74,25.25,0,0,0
"36677100000000_1018",0.23,0,100,0,0,39.95,1971,101056,82,80.76,1894.5,62.8,34.44,42.74,25.25,0,0,0
"36677100000000_1019",0.23,0,37.46,0,27.34,39.95,2002,101056,82,80.76,42,62.8,34.44,42.74,25.25,0,0,0
"30664800000000_1047",0.23,0,100,0,0,38.58,2005,105847,43,25.91,20747,22.91,22.48,58.46,10.85,0,0,0
"19768700000000_1508",0.23,0,100,0,0,36.39,1903,106488,35,16.79,20747,53.68,34.92,65.98,8.4,0,0,0
"19648400000000_1515",0.23,0,100,0,0,39.42,1990,100524,81,10.94,112.5,57.55,34.92,50.45,20.85,0,0,0
"33671200000000_2736",0.23,0,72.39,0,27.61,38.95,1991,100357,49,40.19,55,55.17,31.72,34.64,26.4,0,0,0
"30665200000000_2781",0.23,0,100,0,0,38.03,2006,101908,66,13.31,112.5,52.93,22.48,64.3,8.85,0,0,0
"30664700000000_3100",0.23,0,99.08,0,0.92,38.02,1959,106361,54,10.73,85.5,39.12,22.48,42.04,21.6,0,0,0
"33671200000000_3374",0.23,0,74.59,0,25.41,37.47,2018,105227,49,13.35,1894.5,31.39,31.72,26.08,15.45,0,0,0
"15637700000000_2366",0.13,0,100,0,0,36.24,2011,106488,77,9.42,241,53.68,34.92,65.98,30.55,1,0,0
"36750400000000_1502",0.15,0,80.69,0,19.31,41.57,1958,100408,68,18.85,205,67.1,34.44,31.31,43.8,1,0,0
"36750400000000_3182",0.16,0,78.49,0,21.51,41.61,1997,100408,68,2,32.5,67.1,34.44,26.2,47,1,0,0
"36750400000000_3183",0.16,0,51.79,0,22.18,41.61,1997,100408,68,2,205,67.1,34.44,26.2,47,1,0,0
"36750400000000_3184",0.16,0,66.84,0,52.28,41.61,1997,100408,68,2,32.5,67.1,34.44,26.2,47,1,0,0
"36750400000000_3185",0.16,0,32.03,0,57.3,41.61,1997,100408,68,2,1523.5,67.1,34.44,26.2,47,1,0,0
"19647300000000_1626",0.18,0,100,0,0,37.72,2010,103561,80,9.22,42.5,99.74,34.92,57.89,32.95,1,0,0
"19753100000000_2426",0.18,0,99.92,0,0.08,42.16,2013,103167,77,2.75,13,23.95,34.92,44.34,17.85,1,0,0
"19647300000000_1624",0.21,0,100,0,0,37.53,1981,103561,80,9.22,464,99.74,34.92,57.89,32.95,1,0,0
"30666700000000_1838",0.21,0,100,0,0,39.16,2005,104523,75,10.1,241,55.45,22.48,54.78,20.45,1,0,0
"36676800000000_300",0.22,0,94.5,0,5.5,38.47,1969,102375,57,7.88,464,45.64,34.44,39.46,44.75,1,0,0
"19650600000000_1719",0.22,0,98.45,0,1.55,38.72,1959,106250,10,10,241,34.69,34.92,57.41,7.55,1,0,0
"33752000000000_2868",0.22,0,96.31,0,3.69,38.36,2010,105962,40,16.13,205,38.17,31.72,34.46,19.45,1,0,0
"33752000000000_2869",0.22,0,64.35,0,7.82,38.36,2014,105962,40,16.13,14.5,38.17,31.72,34.46,19.45,1,0,0
"33752000000000_2870",0.22,5.77,64.39,0,14.78,38.36,2015,105962,40,16.13,14.5,38.17,31.72,34.46,19.45,1,0,0
